#LAMMPS data file via write_data, version 2 Apr 2025, timestep = 50000, units = metal

720 atoms
4 atom types
1 bond types
1 angle types

2 extra bond per atom
1 extra angle per atom
2 extra special per atom

-22.470320800269317 22.470320800269317 xlo xhi
-8.579178758211475 8.579178758211475 ylo yhi
-8.491043517346204 8.491043517346204 zlo zhi

Atom Type Labels

1 Si
2 O
3 OW
4 HW

Bond Type Labels

1 OW-HW

Angle Type Labels

1 HW-OW-HW

Masses

1 28.0855
2 15.9994
3 15.9994
4 1.008

Atoms # full

494 0 2 0 -18.616775358543315 -4.933411197921618 -6.362660405016377 0 0 0
154 0 1 0 -18.37966214446967 -6.506913347531253 -6.633184436368132 0 1 0
499 0 2 0 -19.32322190310523 -4.78196805556571 -3.0882509883505342 0 0 0
510 0 2 0 -19.785621074187844 -7.318964572885666 -6.531452785939805 0 1 0
27 0 1 0 -19.81800645525745 -3.8142853184725762 -6.261255123890343 0 0 1
241 0 2 0 -17.452427235421485 -7.2232217026604575 -5.540668300867279 0 0 1
708 0 2 0 -20.849380127182663 -8.203534714876223 -4.2972488133186575 0 1 0
473 0 2 0 -21.169020694227335 -4.52776832350753 -6.018551813930582 1 2 1
68 0 1 0 -21.12463399354063 -7.931914725372447 -5.875376968767791 1 1 1
523 0 2 0 -17.771841644524322 -6.877409214488186 -8.06072276945896 1 1 1
692 0 2 0 -16.717287607935194 -4.590234170340272 -3.974886616920994 0 0 1
34 0 1 0 -16.148742621294986 -7.993242908156622 -5.161253251474912 0 1 0
481 0 2 0 -18.527416835010207 -7.920866176202587 -3.216938715485788 0 1 0
442 0 2 0 -15.843865927785306 -7.58191409304572 -3.536213412377716 0 0 0
222 0 1 0 -15.437892861870488 -3.7867158410786548 -4.561936180323344 0 0 1
344 0 2 0 -14.779354013715652 -4.5480970926403295 -5.781466796870494 0 1 1
37 0 1 0 -13.782659111559882 -7.299410777672651 -7.2477646983003 0 0 0
555 0 2 0 -14.077649108735176 -5.843265499953233 -7.850475734982215 0 0 0
558 0 2 0 -14.207398533094693 -3.6631589142821053 -3.4870942352349497 0 1 1
562 0 2 0 -12.445747946819466 -4.184825103279525 -7.0072374042022565 0 0 1
